row_id,state,condition_category,responder_type,statute_citation,date_effective,date_effective_snippet,date_sunset,date_sunset_snippet,notes,any_date,needs_review
89,GA,cancer,firefighter,O.C.G.A. § 25-3-23,1/1/18,"ly disability benefit) rather than a direct WC presumption. Effective January 1, 2018. Volunteers covered",NA,NA,"Requires 12 consecutive months of service as a firefighter with the same fire department. Provides mandatory insurance coverage (lump sum + monthly disability benefit) rather than a direct WC presumption. Effective January 1, 2018. Volunteers covered under same statute but with lower benefit levels ($1,500/month vs. 60% of salary).",TRUE,FALSE
90,GA,cancer,firefighter_volunteer,O.C.G.A. § 25-3-23,1/1/18,"efit is $1,500 (vs. 60% of salary for career firefighters). Effective January 1, 2018. Volunteer fire dep",NA,NA,"Volunteers explicitly included in the cancer insurance mandate. Monthly disability benefit is $1,500 (vs. 60% of salary for career firefighters). Effective January 1, 2018. Volunteer fire departments not required to cover volunteers who are simultaneously employed as career firefighters at another department.",TRUE,FALSE
91,GA,cardiovascular,firefighter,O.C.G.A. § 45-9-85(b)(4),NA,NA,NA,NA,"Presumption applies if heart attack, stroke, or vascular rupture: commenced while performing work-related activity, while on duty after such activity, or not later than 24 hours after such activity; AND directly or proximately resulted in death or disability. Rebuttable by competent medical evidence that it was not related to work activity or was caused solely by cardiovascular disease risk factors.",FALSE,FALSE
92,GA,cardiovascular,emt_paramedic,O.C.G.A. § 45-9-85(b)(4),NA,NA,NA,NA,"Statute covers 'public safety officers' defined to include emergency medical technicians. Presumption applies to heart attack, stroke, or vascular rupture within 24 hours of work-related activity. Rebuttable by competent medical evidence.",FALSE,FALSE
93,GA,cardiovascular,law_enforcement,O.C.G.A. § 45-9-85(b)(4),NA,NA,NA,NA,"Statute covers 'public safety officers' defined to include law enforcement officers. Presumption applies to heart attack, stroke, or vascular rupture within 24 hours of work-related activity. Rebuttable by competent medical evidence.",FALSE,FALSE
94,GA,cardiovascular,corrections,O.C.G.A. § 45-9-85(b)(4),NA,NA,NA,NA,"Statute covers 'public safety officers' defined to include prison guards. Presumption applies to heart attack, stroke, or vascular rupture within 24 hours of work-related activity. Rebuttable by competent medical evidence.",FALSE,FALSE
95,HI,cardiovascular,firefighter,Haw. Rev. Stat. § 88-79,NA,NA,NA,NA,"Applies for service-connected disability retirement. Presumption requires that entry physical exam failed to reveal any evidence of the condition. Inhalation of smoke, toxic gases, chemical fumes, and other toxic vapors shall be construed as injury received in performance of duty.",FALSE,FALSE
96,HI,respiratory,firefighter,Haw. Rev. Stat. § 88-79,NA,NA,NA,NA,"Applies for service-connected disability retirement. Presumption requires that entry physical exam failed to reveal any evidence of the condition. Inhalation of smoke, toxic gases, chemical fumes construed as occupational hazard.",FALSE,FALSE
97,HI,cardiovascular,law_enforcement,Haw. Rev. Stat. § 88-79,NA,NA,NA,NA,Statute explicitly covers police officers. Presumption requires that entry physical exam failed to reveal any evidence of the condition.,FALSE,FALSE
98,HI,respiratory,law_enforcement,Haw. Rev. Stat. § 88-79,NA,NA,NA,NA,Statute explicitly covers police officers. Presumption requires that entry physical exam failed to reveal any evidence of the condition.,FALSE,FALSE
99,HI,cancer,firefighter,Haw. Rev. Stat. § 386 (medical care for firefighters with cancer),NA,NA,NA,NA,"When a cancer claim is accepted as compensable for a firefighter with 5+ years of service, employer is liable for medical care at 110%-150% of Medicare RBRVS fees applicable to Hawaii. Provision is about enhanced medical benefit level, not a WC presumption per se, but applies once claim is accepted or determined compensable.",FALSE,FALSE
100,IA,cardiovascular,firefighter,Iowa Code § 411.6(5),NA,NA,NA,NA,"Presumed contracted while on active duty as a result of strain. Pre-existing conditions known at membership commencement (on or after July 1, 1992) are excluded. Applies only to Chapter 411 retirement system members (police and firefighters in cities). Covers firefighters who passed regular civil service examination.",FALSE,FALSE
101,IA,respiratory,firefighter,Iowa Code § 411.6(5),NA,NA,NA,NA,"Presumed contracted while on active duty as result of inhalation of noxious fumes, poison, or gases. Pre-existing conditions known at membership commencement (on or after July 1, 1992) are excluded.",FALSE,FALSE
102,IA,cancer,firefighter,Iowa Code § 411.6(5); § 411.1(6),NA,NA,NA,NA,"Cancer defined by § 411.1(6). Presumed contracted while on active duty as a result of that duty. Pre-existing conditions known at membership commencement (on or after July 1, 1992) are excluded.",FALSE,FALSE
103,IA,infectious,firefighter,Iowa Code § 411.6(5); § 411.1(11),NA,NA,NA,NA,"Infectious disease defined by § 411.1(11). Presumed contracted while on active duty as a result of that duty. Pre-existing conditions known at membership commencement (on or after July 1, 1992) are excluded.",FALSE,FALSE
104,ID,cardiovascular,firefighter,Idaho Code § 72-438,NA,NA,NA,NA,"Covers paid firemen employed by a municipality, village or fire district as regular members. Caused by overexertion in times of stress or danger OR by proximate exposure OR cumulative exposure over 4+ years to heat, smoke, chemical fumes or toxic gases. Applies to paid firefighters only (not volunteers). Covered diseases are not subject to the limitations of § 72-439.",FALSE,FALSE
105,ID,respiratory,firefighter,Idaho Code § 72-438,NA,NA,NA,NA,"Covers paid firemen employed by municipality, village or fire district as regular members. Caused by overexertion or cumulative exposure over 4+ years to heat, smoke, chemical fumes or toxic gases. Paid firefighters only.",FALSE,FALSE
106,ID,infectious,firefighter,Idaho Code § 72-438,NA,NA,NA,NA,"Applies to occupations involving exposure to human blood or body fluids, which encompasses firefighters. No specific service minimum stated for this provision.",FALSE,FALSE
107,ID,cancer,firefighter,Idaho Code § 72-438 (firefighter occupational diseases subsection),NA,NA,NA,NA,Each cancer type has its own minimum years-of-service threshold (5-15 years). 'Firefighter' = employee whose primary duty is extinguishing or investigating fires. Pre-employment medical screening exam must not have revealed the disease. Presumption is rebuttable by substantial evidence. Post-termination window is 10 years (120 months) from last date worked. Tobacco exclusion: presumption does not apply if firefighter or firefighter's cohabitant has regularly and habitually used tobacco products for 10+ years prior to diagnosis. Testicular cancer: age <40 and no evidence of anabolic steroids or human growth hormone use. Breast cancer: age <40 without breast cancer genetic predisposition.,FALSE,FALSE
108,ID,mental,firefighter,Idaho Code § 72-451(4)-(6),NA,NA,7/1/23,"event or events arising out of employment. Originally had a sunset of July 1, 2023 (Section 2 of the a","Requires diagnosis by a psychologist, licensed psychiatrist, or counselor trained in PTSI; and clear and convincing evidence the injury was caused by an event or events arising out of employment. Originally had a sunset of July 1, 2023 (Section 2 of the act), but effective for dates of injury/manifestation on or after July 1, 2019. Applies to firefighters as defined in §§ 59-1391(f) and 72-1403(A).",TRUE,FALSE
109,ID,mental,law_enforcement,Idaho Code § 72-451(4)-(6),NA,NA,7/1/23,"agnosis and clear and convincing evidence. Originally had a sunset of July 1, 2023. Effective for date","Applies to peace officers (city, county, Idaho state police) as defined in § 19-5101(d). Requires PTSI diagnosis and clear and convincing evidence. Originally had a sunset of July 1, 2023. Effective for dates of injury/manifestation on or after July 1, 2019.",TRUE,FALSE
110,ID,mental,emt_paramedic,Idaho Code § 72-451(4)-(6),NA,NA,7/1/23,"agnosis and clear and convincing evidence. Originally had a sunset of July 1, 2023. Effective for date","Applies to EMS providers certified under §§ 56-1011 through 56-1018B and ambulance-based clinicians. Requires PTSI diagnosis and clear and convincing evidence. Originally had a sunset of July 1, 2023. Effective for dates of injury/manifestation on or after July 1, 2019.",TRUE,FALSE
111,IL,cardiovascular,firefighter,"40 ILCS 5/4-110.1 (municipalities 500,000 and under); 40 ILCS 5/6-151.1 (cities over 500,000); 820 ILCS 305 (Workers' Compensation Act); 820 ILCS 310 (Workers' Occupational Diseases Act)",NA,NA,NA,NA,"Pension provisions (40 ILCS 5/4-110.1 and 6-151.1) require 5 years (Article 4) or 7 years (Article 6) of service, active status, and disease to manifest during service. Article 4 applies to municipalities 500K and under; Article 6 to cities over 500K (7-year minimum). WC/OD Acts (820 ILCS 305/310) require 5 years employment at time of filing Application for Adjustment of Claim. Pre-employment exam required under pension provisions: if exam shows impairment, firefighter loses entitlement until subsequent exam shows no impairment.",FALSE,FALSE
112,IL,respiratory,firefighter,40 ILCS 5/4-110.1; 40 ILCS 5/6-151.1; 820 ILCS 305; 820 ILCS 310,NA,NA,NA,NA,"Tuberculosis and lung/respiratory disease covered under all four statutory provisions. Article 4 (5-year minimum), Article 6 (7-year minimum). Pre-employment exam required under pension provisions.",FALSE,FALSE
113,IL,cancer,firefighter,40 ILCS 5/4-110.1; 40 ILCS 5/6-151.1; 820 ILCS 305; 820 ILCS 310,NA,NA,NA,NA,"Cancer type must be one that may be caused by exposure to heat, radiation, or a known IARC carcinogen (4-110.1 and WC/OD Acts). Pre-employment exam: if exam discloses existence of cancer, firefighter loses entitlement until subsequent exam shows no cancer. Article 6 (cities over 500K) requires 7 years.",FALSE,FALSE
114,IL,infectious,firefighter,40 ILCS 5/6-151.1; 820 ILCS 305; 820 ILCS 310,NA,NA,NA,NA,"AIDS and hepatitis C covered in Article 6 (cities over 500K; 7-year minimum) and WC/OD Acts. MRSA covered under all three WC/OD-related provisions. Pre-employment exam required under Article 6: if exam discloses AIDS, hepatitis C, or MRSA, firefighter loses entitlement until subsequent exam shows no impairment.",FALSE,FALSE
115,IL,other,firefighter,820 ILCS 305; 820 ILCS 310,NA,NA,NA,NA,Hernia and hearing loss explicitly included in the rebuttable presumption under both the Workers' Compensation Act and the Workers' Occupational Diseases Act.,FALSE,FALSE
116,IL,cardiovascular,emt_paramedic,820 ILCS 305; 820 ILCS 310,NA,NA,NA,NA,"WC/OD Acts cover EMT, EMT-I, A-EMT, and paramedic. Exclusion: presumption does NOT apply to EMT/A-EMT/paramedic employed by a private employer if the employee spends the preponderance of work time engaged in medical transfers between medical care facilities or non-emergency medical transfers.",FALSE,FALSE
117,IL,respiratory,emt_paramedic,820 ILCS 305; 820 ILCS 310,NA,NA,NA,NA,"Covers EMT, EMT-I, A-EMT, and paramedic. Private-employer/medical-transfer exclusion applies.",FALSE,FALSE
118,IL,cancer,emt_paramedic,820 ILCS 305; 820 ILCS 310,NA,NA,NA,NA,"Covers EMT, EMT-I, A-EMT, and paramedic. Private-employer/medical-transfer exclusion applies.",FALSE,FALSE
119,IL,infectious,emt_paramedic,820 ILCS 305; 820 ILCS 310,NA,NA,NA,NA,"Covers EMT, EMT-I, A-EMT, and paramedic. Private-employer/medical-transfer exclusion applies.",FALSE,FALSE
120,IL,other,emt_paramedic,820 ILCS 305; 820 ILCS 310,NA,NA,NA,NA,"Hernia and hearing loss explicitly included for EMT, EMT-I, A-EMT, and paramedic. Private-employer/medical-transfer exclusion applies.",FALSE,FALSE
121,IL,mental,firefighter,40 ILCS 5/4-112,NA,NA,NA,NA,"Section 4-112 provides special protections for firefighters receiving disability pensions for PTSD: mandatory annual medical re-examination may be discontinued if firefighter has reached age 45, has documentation from 2+ physicians approving discontinuance, and board votes affirmatively. Also, no physical or mental disability forming the basis of a pension application may be used as cause for discharge by municipalities or fire protection districts.",FALSE,FALSE
122,IN,cancer,firefighter,IC 5-10-15-9,NA,NA,NA,NA,Applies to full-time employees of state or political subdivision. Tobacco exclusion: chapter does not apply to any individual who used tobacco products in any form in the 5 years before diagnosis. At time of diagnosis: must be actively employed OR have terminated employment not more than 60 months earlier. Presumption is rebuttable by competent evidence.,FALSE,FALSE
123,IN,cardiovascular,firefighter,IC 5-10-15-9,NA,NA,NA,NA,Full-time firefighters only. Tobacco exclusion: chapter does not apply to individuals who used tobacco in the 5 years before diagnosis. Rebuttable by competent evidence.,FALSE,FALSE
124,IN,respiratory,firefighter,IC 5-10-15-9,NA,NA,NA,NA,Full-time firefighters only. Tobacco exclusion applies (no tobacco use in 5 years before diagnosis). Rebuttable by competent evidence.,FALSE,FALSE
125,IN,other,firefighter,IC 5-10-15-5.5; IC 5-10-15-9,NA,NA,NA,NA,Parkinson's disease explicitly added as a presumptive condition (IC 5-10-15-5.5 added by P.L.59-2009). Must be caused by toxin or head trauma known to increase Parkinson's risk AND to which individual is at risk for occupational exposure. Tobacco exclusion applies. Rebuttable by competent evidence.,FALSE,FALSE
126,IN,cancer,emt_paramedic,IC 5-10-15-9,NA,NA,NA,NA,Applies to full-time emergency medical services providers as defined in IC 16-41-10-1. Tobacco exclusion: no tobacco use in the 5 years before diagnosis. Rebuttable by competent evidence.,FALSE,FALSE
127,IN,cardiovascular,emt_paramedic,IC 5-10-15-9,NA,NA,NA,NA,Full-time EMS providers. Tobacco exclusion applies. Rebuttable by competent evidence.,FALSE,FALSE
128,IN,respiratory,emt_paramedic,IC 5-10-15-9,NA,NA,NA,NA,Full-time EMS providers. Tobacco exclusion applies. Rebuttable by competent evidence.,FALSE,FALSE
129,IN,other,emt_paramedic,IC 5-10-15-5.5; IC 5-10-15-9,NA,NA,NA,NA,Full-time EMS providers. Tobacco exclusion applies. Rebuttable by competent evidence.,FALSE,FALSE
130,IN,cancer,law_enforcement,IC 5-10-15-9,NA,NA,NA,NA,Applies to full-time members of a police department as defined in IC 36-8-1-9. Tobacco exclusion: no tobacco use in the 5 years before diagnosis. Rebuttable by competent evidence.,FALSE,FALSE
131,IN,cardiovascular,law_enforcement,IC 5-10-15-9,NA,NA,NA,NA,Full-time law enforcement. Tobacco exclusion applies. Rebuttable by competent evidence.,FALSE,FALSE
132,IN,respiratory,law_enforcement,IC 5-10-15-9,NA,NA,NA,NA,Full-time law enforcement. Tobacco exclusion applies. Rebuttable by competent evidence.,FALSE,FALSE
133,IN,other,law_enforcement,IC 5-10-15-5.5; IC 5-10-15-9,NA,NA,NA,NA,Full-time law enforcement. Tobacco exclusion applies. Rebuttable by competent evidence.,FALSE,FALSE
134,IN,mental,firefighter,IC 36-8-8.3; IC 36-8-8-12.5; IC 36-8-8-13.1,NA,NA,NA,NA,"Applies to 1977 Fund members (firefighters under IC 36-8-8). Mental health disability treated as Class 1 impairment (same as occupational disease). Mental health disability review panel process: initial 2-year provisional period with required active treatment; panel reevaluates at conclusion; second 2-year provisional period if still impaired; permanent disability after second evaluation if still impaired. Applies to final determinations after December 31, 2012. Employer pays for mental health care during both provisional periods. This is a pension/disability benefit structure, not a WC presumption per se.",FALSE,FALSE
135,IN,mental,law_enforcement,IC 36-8-8.3; IC 36-8-8-12.5; IC 36-8-8-13.1,NA,NA,NA,NA,Applies to 1977 Fund members (police officers and firefighters under IC 36-8-8). Review panel includes active or retired police officer or firefighter depending on the fund member being evaluated. Same provisional period structure as for firefighters. Employer pays for mental health care during provisional periods.,FALSE,FALSE
136,KS,cardiovascular,firefighter,K.S.A. 74-4952,NA,NA,NA,NA,"Presumption applies after 5 years of credited service. If member ceased being a contributing member due to service-connected disability for 6+ months and then rejoined, the presumption for heart/lung/cancer does not apply again until re-contributing for 2 years or clear evidence of duty-connection. Presumption is part of pension/retirement system (KPERS), not standalone WC statute. Burden shifts to member or other party once employer presents contrary evidence.",FALSE,FALSE
137,KS,cardiovascular,law_enforcement,K.S.A. 74-4952,NA,NA,NA,NA,Same statute covers 'policeman or fire fighter.' Presumption applies after 5 years of credited service. Re-entry restriction after service-connected disability gap of 6+ months (must re-contribute 2 years before presumption re-activates). Part of KPERS pension system.,FALSE,FALSE
138,KS,respiratory,firefighter,K.S.A. 74-4952,NA,NA,NA,NA,Presumption applies after 5 years of credited service. Same re-entry restriction as cardiovascular row. Part of KPERS pension system.,FALSE,FALSE
139,KS,respiratory,law_enforcement,K.S.A. 74-4952,NA,NA,NA,NA,Same statute covers 'policeman or fire fighter.' Presumption applies after 5 years of credited service. Part of KPERS pension system.,FALSE,FALSE
140,KS,cancer,firefighter,K.S.A. 74-4952,NA,NA,NA,NA,"Cancer presumption limited to types that 'may, in general, result from exposure to heat, radiation, or a known carcinogen.' Same re-entry restriction applies. Part of KPERS pension system.",FALSE,FALSE
141,KS,cancer,law_enforcement,K.S.A. 74-4952,NA,NA,NA,NA,"Same statute covers 'policeman or fire fighter.' Cancer limited to types resulting from heat, radiation, or known carcinogen exposure. Part of KPERS pension system.",FALSE,FALSE
142,KY,cancer,firefighter,KRS 61.315 (formerly .316–.315),NA,NA,NA,NA,CRITICAL: This provision creates a line-of-duty DEATH BENEFIT presumption only — the statute explicitly states it does NOT create a WC presumption under KRS Chapter 342 and shall not be construed to do so. Conditions: firefighter for at least 5 consecutive years; cancer-related death within 10 years of separation; no tobacco use for 10 years prior to diagnosis; under age 65 at time of death; no pre-employment cancer diagnosis; exposed to IARC or NTP recognized carcinogen reasonably associated with the cancer. Rebuttability not explicitly stated for this benefit.,FALSE,FALSE
143,KY,mental,firefighter,"KRS 210.365 (as amended, Section 1)",NA,NA,NA,NA,"Covers full-time, career, and volunteer firefighters. Diagnosis must be by psychiatrist, psychologist, or licensed professional counselor (KRS 335.500–335.599). PTSD must be caused by an event or accumulation of events in course and scope of employment. NOTE: This provision is a mental health treatment reimbursement program (out-of-pocket costs reimbursed by commission), not a traditional WC compensability presumption — maximum 12 months of reimbursement. Personnel action exclusion applies (transfer, promotion, termination not compensable).",FALSE,FALSE
144,KY,mental,firefighter_volunteer,"KRS 210.365 (as amended, Section 1)",NA,NA,NA,NA,"Explicitly covers volunteer firefighters. Same diagnosis and reimbursement structure as career firefighters. Mental health treatment reimbursement program, not WC compensability presumption. Maximum 12 months reimbursement.",FALSE,FALSE
145,LA,mental,firefighter_volunteer,La. R.S. 23:1036.1,NA,NA,NA,NA,"Covers volunteer members of fire companies under WC coverage per R.S. 23:1036. Diagnosis must be by psychiatrist or psychologist. PTSI may be diagnosed during or after volunteer service. Prima facie presumption of service-connection. Personnel action exclusion (transfer, promotion, demotion, termination not compensable).",FALSE,FALSE
146,LA,infectious,firefighter,La. R.S. 33:1948,NA,NA,NA,NA,"Covers firefighters in classified service with 2+ years of service. Rebuttable by: (1) evidence meeting judicial standards, or (2) evidence that within 1 year of diagnosis member unlawfully used IV controlled substances, or lived in intimate relationship with a person diagnosed with Hep B or C.",FALSE,FALSE
147,LA,infectious,law_enforcement,La. R.S. 33:1948,NA,NA,NA,NA,Explicitly covers 'policeman in the classified service' with 2+ years of service alongside firefighters. Same rebuttability conditions as firefighter row.,FALSE,FALSE
148,LA,cancer,firefighter,La. R.S. 33:2011,NA,NA,NA,NA,"Covers firefighters in classified service with 10+ years. Cancer limited to types caused by heat, smoke, radiation, or IARC-recognized known/suspected carcinogens. Two-tier post-termination window: pre-2023 terminations get 3 months/year up to 60 months; post-2023 terminations get 120 months for qualifying members (long service + age criteria). Age 65 cap on diagnosis for post-2023 terminations.",FALSE,FALSE
149,LA,cardiovascular,firefighter,La. R.S. 33:2581,NA,NA,NA,NA,Covers classified fire service. Presumption is prima facie for disease/infirmity manifested any time after the first 5 years of employment. No explicit post-termination window stated. Member need not be on duty when stricken. Statute is separate from and does not affect R.S. 33:2011 (cancer) provisions.,FALSE,FALSE
150,LA,respiratory,firefighter,La. R.S. 33:2581,NA,NA,NA,NA,Same statute as cardiovascular row (R.S. 33:2581). Covers lung disease alongside heart disease in classified fire service. Presumption is prima facie after 5 years of employment. No explicit post-termination window stated.,FALSE,FALSE
151,LA,other,firefighter,La. R.S. 33:2581.1,NA,NA,NA,NA,"Covers classified fire service. Hearing loss must be 10% greater than the affected employee's comparable age group in the general population. Entitlement is to medical benefits (including hearing prosthesis) only — not full disability benefits. Baseline audiology exam required for new hires on or after July 1, 2006 (within 1 year of appointment). Presumption applies after 5 years of service. 24-month post-termination window.",FALSE,FALSE
152,LA,mental,firefighter,La. R.S. 33:2581.2,NA,NA,NA,NA,Covers 'fire employee' (full-time regularly paid fire department employment) and volunteer firemen. Diagnosis must be by psychiatrist or psychologist. PTSI may be diagnosed during or after employment. Prima facie presumption of service-connection. Personnel action exclusion applies. Does not modify pension/retirement eligibility calculations.,FALSE,FALSE
153,LA,mental,emt_paramedic,La. R.S. 33:2581.2,NA,NA,NA,NA,Explicitly covers 'emergency medical services personnel' as defined in R.S. 40:1075.3 employed pursuant to this Chapter. Same prima facie presumption structure as firefighters. Diagnosis during or after employment. Personnel action exclusion applies.,FALSE,FALSE
154,LA,mental,law_enforcement,La. R.S. 33:2581.2,NA,NA,NA,NA,Explicitly covers 'employee of a police department' as defined in R.S. 33:2211. Same prima facie presumption structure. Diagnosis during or after employment. Personnel action exclusion applies.,FALSE,FALSE
155,LA,mental,law_enforcement,La. R.S. 40:1374,NA,NA,NA,NA,Covers employees of the Louisiana Division of State Police (separate statute from R.S. 33:2581.2 which covers municipal police). Diagnosis by psychiatrist or psychologist. PTSI may be diagnosed during or after employment. Prima facie presumption for WC purposes. Personnel action exclusion applies. Does not modify pension/retirement eligibility.,FALSE,FALSE
156,MA,cardiovascular,firefighter,"Massachusetts General Laws Chapter 32, Section 94",NA,NA,NA,NA,"Covers uniformed members of paid fire departments, including permanent crash crewmen, crash boatmen, fire controlmen, and assistant fire controlmen at Logan International Airport. Pre-employment or subsequent physical exam must have failed to reveal any evidence of the condition. Presumption rebuttable by competent evidence.",FALSE,FALSE
157,MA,cardiovascular,law_enforcement,"Massachusetts General Laws Chapter 32, Section 94",NA,NA,NA,NA,"Covers permanent members of police departments (including park police), MBTA police force, state police, and public works building police. Pre-employment or subsequent physical exam must have failed to reveal any evidence of the condition. Presumption rebuttable by competent evidence.",FALSE,FALSE
158,MA,cardiovascular,corrections,"Massachusetts General Laws Chapter 32, Section 94",NA,NA,NA,NA,"Covers employees in the Department of Correction or county correctional facility whose regular or incidental duties require care, supervision, or custody of prisoners, criminally insane persons, or defective delinquents. Pre-employment or subsequent physical exam must have failed to reveal any evidence of the condition. Presumption rebuttable by competent evidence.",FALSE,FALSE
159,MA,respiratory,firefighter,"Massachusetts General Laws Chapter 32, Section 94A",NA,NA,NA,NA,"Covers uniformed members of paid fire departments, including crash crewmen, crash boatmen, fire controlmen, and assistant fire controlmen at Logan International Airport. Must result in total disability or death. Presumed to result from inhalation of noxious fumes or poisonous gases. Pre-employment or subsequent physical exam must have failed to reveal any evidence of such condition. Rebuttable by competent evidence.",FALSE,FALSE
160,MA,cancer,firefighter,"Massachusetts General Laws Chapter 32, Section 94B",NA,NA,NA,NA,"Covers uniformed members of paid fire departments, members of state police assigned to fire investigation unit of Department of Fire Services, state police K-9 unit members, and Logan Airport crash crewmen/boatmen/fire controlmen. Must result in total disability or death. Requires: (1) 5 years minimum service; (2) cancer type must be one that may result from heat, radiation, or IARC-listed carcinogen; (3) member must have regularly responded to fire calls or investigation at scene. Pre-employment or subsequent exam must not have revealed the condition. Post-termination window: discovery within 5 years of last active service date. Rebuttable by preponderance of evidence of non-service-connected risk factors or hazards.",FALSE,FALSE
161,MD,cardiovascular,firefighter,"Maryland Code, Labor and Employment § 9-503(a)",10/1/26,"mulative service, and currently employed at time of claim — effective October 1, 2026.",NA,NA,"Covers paid firefighters, paid fire fighting instructors, sworn members of Office of State Fire Marshal employed by airport authority, county, fire control district, municipality, or State. Hypertension sub-provision (§9-503(a)(2)) requires: hypertension diagnosis by authorized provider, medication prescribed for at least 90 consecutive days, at least 2 years cumulative service, and currently employed at time of claim — effective October 1, 2026.",TRUE,FALSE
162,MD,respiratory,firefighter,"Maryland Code, Labor and Employment § 9-503(a)",NA,NA,NA,NA,"Covers paid firefighters, paid fire fighting instructors, sworn members of Office of State Fire Marshal employed by airport authority, county, fire control district, municipality, or State.",FALSE,FALSE
163,MD,cardiovascular,emt_paramedic,"Maryland Code, Labor and Employment § 9-503(a)",10/1/26,"mulative service, and currently employed at time of claim — effective October 1, 2026.",NA,NA,"Covers paid rescue squad members and paid advanced life support unit members. Hypertension sub-provision (§9-503(a)(2)) requires: diagnosis by authorized provider, medication for at least 90 consecutive days, at least 2 years cumulative service, and currently employed at time of claim — effective October 1, 2026.",TRUE,FALSE
164,MD,respiratory,emt_paramedic,"Maryland Code, Labor and Employment § 9-503(a)",NA,NA,NA,NA,Covers paid rescue squad members and paid advanced life support unit members.,FALSE,FALSE
165,MD,cardiovascular,firefighter_volunteer,"Maryland Code, Labor and Employment § 9-503(a)",NA,NA,NA,NA,"Covers volunteer firefighters, volunteer fire fighting instructors, volunteer rescue squad members, and volunteer advanced life support unit members who are covered employees under § 9-234. Pre-employment physical exam required. Hypertension expanded provision (§9-503(a)(2)) applies only to paid members.",FALSE,FALSE
166,MD,respiratory,firefighter_volunteer,"Maryland Code, Labor and Employment § 9-503(a)",NA,NA,NA,NA,Covers volunteer rescue squad members and volunteer advanced life support unit members who are covered employees under § 9-234. Pre-employment physical exam required.,FALSE,FALSE
167,MD,cancer,firefighter,"Maryland Code, Labor and Employment § 9-503(c)",NA,NA,NA,NA,"Requires: (1) cancer caused by contact with toxic substance encountered in the line of duty; (2) at least 10 years of service as firefighter, fire fighting instructor, rescue squad member, or advanced life support unit member; (3) unable to perform normal duties due to cancer. Covers paid firefighters, paid fire fighting instructors, and sworn members of Office of State Fire Marshal.",FALSE,FALSE
168,MD,cancer,firefighter_volunteer,"Maryland Code, Labor and Employment § 9-503(c)",NA,NA,NA,NA,"Covers volunteer firefighters, volunteer fire fighting instructors, volunteer rescue squad members, and volunteer advanced life support unit members who are covered employees under § 9-234. Pre-employment physical exam required. Requires 10 years of service; cancer must be caused by toxic substance in line of duty; must be unable to perform normal duties.",FALSE,FALSE
169,ME,cardiovascular,firefighter,"Me. Rev. Stat. Title 39-A, Sec. 328",NA,NA,NA,NA,Covers active members of municipal fire departments AND volunteer firefighters associations. Firefighter defined broadly to include administrative/other duty members who aid in fire extinguishment. 2-year membership minimum required. Temporal trigger: disease/injury within 6 months of actual firefighting or firefighting training/drill.,FALSE,FALSE
170,ME,cardiovascular,firefighter_volunteer,"Me. Rev. Stat. Title 39-A, Sec. 328",NA,NA,NA,NA,Volunteer firefighters association members explicitly included in 'firefighter' definition under Sec. 328. Same 2-year membership and 6-month temporal trigger requirements.,FALSE,FALSE
171,ME,respiratory,firefighter,"Me. Rev. Stat. Title 39-A, Sec. 328",NA,NA,NA,NA,Same statute as cardiovascular row (Sec. 328). Pulmonary disease covered alongside cardiovascular. Same 2-year minimum and 6-month firefighting-activity trigger.,FALSE,FALSE
172,ME,respiratory,firefighter_volunteer,"Me. Rev. Stat. Title 39-A, Sec. 328",NA,NA,NA,NA,Volunteer firefighters association members explicitly included. Same conditions as career firefighter row.,FALSE,FALSE
173,ME,infectious,firefighter,"Me. Rev. Stat. Title 39-A, Sec. 328-A",NA,NA,NA,NA,"Covers 'emergency rescue or public safety workers' with high risk of occupational exposure. Firefighter defined as active member of municipal fire department or volunteer fire association. Pre-employment physical required (if employer requires it) — must test negative for hepatitis/TB. Worker must sign affidavit declaring no outside exposure sources, no transfusions, no high-risk sexual behavior, no IV drug use. Preemployment test exemption for workers employed on the effective date of the section. Multi-employer rule: last employer of injurious exposure is liable. Presumption explicitly applies for disability retirement purposes.",FALSE,FALSE
174,ME,infectious,firefighter_volunteer,"Me. Rev. Stat. Title 39-A, Sec. 328-A",NA,NA,NA,NA,"Volunteer fire association members explicitly included in firefighter definition under Sec. 328-A. Employer includes entities for which person provides volunteer services. Same affidavit, pre-employment testing, and immunization requirements.",FALSE,FALSE
175,ME,infectious,emt_paramedic,"Me. Rev. Stat. Title 39-A, Sec. 328-A",NA,NA,NA,NA,"EMS person defined as licensed under Title 32, ch. 2-B, employed by or providing voluntary service to a licensed ambulance service or nontransporting EMS. Must run high risk of occupational exposure. Same affidavit, pre-employment testing, and immunization conditions.",FALSE,FALSE
176,ME,infectious,law_enforcement,"Me. Rev. Stat. Title 39-A, Sec. 328-A",NA,NA,NA,NA,"Law enforcement officer as defined in Title 25, sec. 2801-A, sub. 5. Must run high risk of occupational exposure. Same affidavit, pre-employment testing, and immunization conditions.",FALSE,FALSE
177,ME,infectious,corrections,"Me. Rev. Stat. Title 39-A, Sec. 328-A",NA,NA,NA,NA,"Corrections officer as defined in Title 25, sec. 2801-A, sub. 2. Must run high risk of occupational exposure through custody/restraint duties. Same affidavit, pre-employment testing, and immunization conditions.",FALSE,FALSE
